id_candidatura,nome_urna,nome_candidato,fb_id,nome_cidade,sigla_estado,numero_partido,nota_partido,sigla_partido,Adoção por famílias LGBTs,Respeito à identidade de gênero de pessoas trans,Cota para mulheres no legislativo,Igualdade de gênero e raça nas escolas,Ações afirmativas raciais,Estado Laico,Combate à violência contra mulher,Descriminalização do aborto,Criminalização da LGBTfobia,Desmilitarização da polícia,Desapropriação por interesse social,Defesa do meio ambiente,Orçamento participativo,Transparência,votos_recebidos,cor_tse,genero,situacao_candidatura,situacao_eleitoral
424,Denise Pessôa,Denise Pessôa,10154372845832367,Caxias do Sul,RS,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,3312,PRETA,FEMININO,DEFERIDO,ELEITO POR QP
299,Claudia Grinberg,Claudia Grimberg,10205489481115213,Rio de Janeiro,RJ,50,100,PSOL,S,S,S,S,S,S,S,N,S,S,S,S,S,S,530,BRANCA,FEMININO,DEFERIDO,SUPLENTE
553,Carla Carvalho,Carla Cristina Carvalho,10210760319864130,São Paulo,SP,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,2042,BRANCA,FEMININO,DEFERIDO,SUPLENTE
686,ELEIÇÃO 2016 EDUARDO MATARAZZO SUPLICY VEREADOR,NA,547045908830561,São Paulo,SP,13,90,PT,S,S,S,S,S,N,S,S,S,S,S,S,S,S,301446,BRANCA,MASCULINO,DEFERIDO,ELEITO POR QP
194,Ailza Trajano,Ailza Trajano,1243922235658447,Caruaru,PE,65,91,PC do B,S,S,S,S,S,S,S,S,S,S,S,S,S,S,290,PARDA,FEMININO,DEFERIDO,SUPLENTE
528,Luis Rabello,Luis Rabello,1147192358698492,Valinhos,SP,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,457,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
229,Pereirão,Riselda Tenorio Pereira Tenorio,899042133559373,Recife,PE,55,14,PSD,N,N,N,S,N,N,S,N,N,N,S,N,S,S,79,BRANCA,FEMININO,DEFERIDO,SUPLENTE
440,Hendel Machado,Hendel Machado,1084181091628996,Porto Alegre,RS,11,15,PP,S,S,N,S,N,S,S,S,N,S,N,N,S,S,793,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
235,Taciana Valença,Taciana Valença,1116386251744219,Recife,PE,65,91,PC do B,S,N,S,S,S,S,S,N,S,N,S,S,S,S,134,BRANCA,FEMININO,DEFERIDO,SUPLENTE
787,Vinicius Recio,Vinicius Recio,1136456059753868,São Paulo,SP,51,26,PEN,S,S,S,S,N,N,S,N,N,N,S,S,S,S,310,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
